Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,SOCI,240,A,002,"SOCL INTERACTION","Bartolic, Silvia",115,71.62,13.45,95,13,107,4,3,0,1,0,1,0,1,2,4,5,8,8,12,10,14,17,10,14,9
UBC,2013,W,SOCI,240, ,OVERALL,"SOCL INTERACTION"," ",117,71.62,13.45,95,13,107,4,5,0,1,0,1,0,1,2,4,5,8,8,12,10,14,17,10,14,9
UBC,2013,W,SOCI,250,A,001,"CRIME & SOCIETY","MacKenzie, Chris",92,69.11,11.43,90,10,87,1,2,0,1,0,1,0,0,0,1,7,6,5,12,17,16,6,13,4,1
UBC,2013,W,SOCI,250, ,OVERALL,"CRIME & SOCIETY"," ",95,69.11,11.43,90,10,87,1,5,0,1,0,1,0,0,0,1,7,6,5,12,17,16,6,13,4,1
UBC,2013,W,SOCI,260,A,001,"TECHNOLOGY","Preston, Keith",58,69.19,7.23,86,55,57,0,0,0,0,0,0,0,0,0,0,0,3,6,13,13,10,6,3,3,0
UBC,2013,W,SOCI,260, ,OVERALL,"TECHNOLOGY"," ",59,69.19,7.23,86,55,57,0,1,0,0,0,0,0,0,0,0,0,3,6,13,13,10,6,3,3,0
UBC,2013,W,SOCI,301,A,001,"DEVELOPMENT","Ryniker, David",55,70.4,9.66,93,46,52,1,1,0,1,0,0,0,0,1,1,1,4,5,9,7,10,5,6,4,1
UBC,2013,W,SOCI,301, ,OVERALL,"DEVELOPMENT"," ",55,70.4,9.66,93,46,52,1,1,0,1,0,0,0,0,1,1,1,4,5,9,7,10,5,6,4,1
UBC,2013,W,SOCI,302,A,001,"ETHNIC & RACIAL","Chan, Elic",60,67.8,15.15,91,12,50,5,2,0,2,0,1,1,2,1,5,0,3,4,8,5,16,1,9,3,1
UBC,2013,W,SOCI,302, ,OVERALL,"ETHNIC & RACIAL"," ",62,67.8,15.15,91,12,50,5,3,1,2,0,1,1,2,1,5,0,3,4,8,5,16,1,9,3,1
UBC,2013,W,SOCI,310,A,001,"CANADIAN SOCIETY","Wilkes, Rima",100,71.71,11.73,93,30,94,2,3,0,1,0,0,0,1,1,2,9,3,6,8,19,9,10,17,9,4
UBC,2013,W,SOCI,310,A,002,"CANADIAN SOCIETY","Wilkes, Rima",101,74.67,9.76,90,30,99,1,1,0,0,0,0,0,1,0,1,2,2,5,10,15,13,12,28,6,6
UBC,2013,W,SOCI,310,A,004,"CANADIAN SOCIETY","Creese, Gillian",45,73.23,9.6,90,43,42,1,1,1,0,0,0,0,0,1,1,1,1,3,4,5,10,4,10,3,1
UBC,2013,W,SOCI,310, ,OVERALL,"CANADIAN SOCIETY"," ",247,73.22,10.61,93,30,235,4,6,1,1,0,0,0,2,2,4,12,6,14,22,39,32,26,55,18,11
UBC,2013,W,SOCI,312,A,001,"GENDER RELATIONS","Sullivan, Rachael",70,71.59,13.73,92,0,66,3,0,1,0,1,0,0,0,2,3,2,3,5,9,8,8,13,7,9,2
UBC,2013,W,SOCI,312,A,002,"GENDER RELATIONS","Nitsan, Tal",57,71.31,12.93,93,6,54,1,2,0,0,1,0,0,0,0,1,1,2,9,6,6,8,10,6,3,3
UBC,2013,W,SOCI,312,A,004,"GENDER RELATIONS","Nitsan, Tal",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,SOCI,312, ,OVERALL,"GENDER RELATIONS"," ",131,71.47,13.33,93,0,120,4,6,1,0,2,0,0,0,2,4,3,5,14,15,14,16,23,13,12,5
UBC,2013,W,SOCI,328,A,004,"SOCIAL STATS I","Patterson, Andrew",45,70.42,14.22,92,30,42,3,0,0,0,0,0,0,3,0,3,2,2,3,7,5,4,6,9,2,2
UBC,2013,W,SOCI,328, ,OVERALL,"SOCIAL STATS I"," ",46,70.42,14.22,92,30,42,3,1,0,0,0,0,0,3,0,3,2,2,3,7,5,4,6,9,2,2
UBC,2013,W,SOCI,342, ,003,"CONSUM&CONSUMPTN","Hanser, Amy",49,76.69,6.71,89,53,49,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,8,15,9,6,0
UBC,2013,W,SOCI,342, ,OVERALL,"CONSUM&CONSUMPTN"," ",49,76.69,6.71,89,53,49,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,8,15,9,6,0
UBC,2013,W,SOCI,350, ,OVERALL,"SOCI THEORIES"," ",49,73.02,12.86,96,51,48,0,0,0,1,0,0,0,0,0,0,4,7,2,2,7,8,1,3,9,5
UBC,2013,W,SOCI,350,B,001,"SOCI THEORIES","McCollum, Erica",49,73.02,12.86,96,51,48,0,0,0,1,0,0,0,0,0,0,4,7,2,2,7,8,1,3,9,5
UBC,2013,W,SOCI,350, ,OVERALL,"SOCI THEORIES"," ",49,73.02,12.86,96,51,48,0,0,0,1,0,0,0,0,0,0,4,7,2,2,7,8,1,3,9,5
UBC,2013,W,SOCI,350, ,OVERALL,"SOCI THEORIES"," ",49,73.02,12.86,96,51,48,0,0,0,1,0,0,0,0,0,0,4,7,2,2,7,8,1,3,9,5
UBC,2013,W,SOCI,352,A,001,"ORGANIZ OF WORK","Hanser, Amy",42,74.4,9.18,88,42,41,1,0,0,0,0,0,0,0,1,1,0,0,2,6,6,9,7,4,7,0
UBC,2013,W,SOCI,352,A,002,"ORGANIZ OF WORK","Hirsh, Elizabeth",49,73.78,10.51,90,50,49,0,0,0,0,0,0,0,0,0,0,1,2,8,6,2,6,6,8,8,2
UBC,2013,W,SOCI,352, ,OVERALL,"ORGANIZ OF WORK"," ",91,74.07,9.87,90,42,90,1,0,0,0,0,0,0,0,1,1,1,2,10,12,8,15,13,12,15,2
UBC,2013,W,SOCI,360,A,001,"RESOURCES","Tesluk, Jordon",60,74.65,10.71,92,50,57,0,1,0,1,0,0,0,0,0,0,4,0,6,5,5,4,12,11,8,2
UBC,2013,W,SOCI,360, ,OVERALL,"RESOURCES"," ",60,74.65,10.71,92,50,57,0,1,0,1,0,0,0,0,0,0,4,0,6,5,5,4,12,11,8,2
UBC,2013,W,SOCI,361,A,001,"SOCIAL INEQUALTY","Fuller, Sylvia",65,71.13,15.29,100,0,61,2,2,0,0,1,0,0,0,1,2,3,5,6,9,8,6,5,7,6,6
UBC,2013,W,SOCI,361, ,OVERALL,"SOCIAL INEQUALTY"," ",65,71.13,15.29,100,0,61,2,2,0,0,1,0,0,0,1,2,3,5,6,9,8,6,5,7,6,6
UBC,2013,W,SOCI,369,A,001,"SOCIO OF SEXUAL","Ross, Becki",51,68.8,12.38,94,35,48,2,1,0,0,0,0,0,1,1,2,3,5,7,6,6,3,9,5,1,3
UBC,2013,W,SOCI,369,A,003,"SOCIO OF SEXUAL","Ghaziani, Amin",67,73.18,11.6,92,46,60,2,2,0,0,0,0,0,0,2,2,2,4,6,4,9,8,7,8,7,5
UBC,2013,W,SOCI,369, ,OVERALL,"SOCIO OF SEXUAL"," ",118,71.22,12.09,94,35,108,4,3,0,0,0,0,0,1,3,4,5,9,13,10,15,11,16,13,8,8
UBC,2013,W,SOCI,380, ,001,"SOCI METH SURVEY","Akhmetshin, Edward",13,75.5,7.1,86,60,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,1,2,0
UBC,2013,W,SOCI,380, ,002,"SOCI METH SURVEY","Bartolic, Silvia",54,74.28,17.08,94,2,51,2,1,0,0,2,0,0,0,0,2,1,2,0,2,8,5,10,8,11,4
UBC,2013,W,SOCI,380, ,OVERALL,"SOCI METH SURVEY"," ",67,74.51,15.69,94,2,63,2,2,0,0,2,0,0,0,0,2,1,2,1,2,9,8,14,9,13,4
UBC,2013,W,SOCI,382, ,001,"SOCI METH RSRCH","Currie, Dawn",66,68.6,18.63,92,0,59,3,1,0,3,3,0,0,0,0,3,4,3,6,6,6,9,10,10,2,3
UBC,2013,W,SOCI,382, ,002,"SOCI METH RSRCH","Roth, Wendy",20,74.35,7.6,85,62,20,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,4,2,3,0
UBC,2013,W,SOCI,382, ,OVERALL,"SOCI METH RSRCH"," ",86,70,16.77,92,0,79,3,1,0,3,3,0,0,0,0,3,4,3,7,10,7,14,14,12,5,3
UBC,2013,W,SOCI,414,A,001,"FEMINIST THEORY","Currie, Dawn",41,73.93,14.77,90,0,39,1,1,0,0,1,0,0,0,0,1,0,0,4,4,6,5,3,9,7,1
UBC,2013,W,SOCI,414, ,OVERALL,"FEMINIST THEORY"," ",41,73.93,14.77,90,0,39,1,1,0,0,1,0,0,0,0,1,0,0,4,4,6,5,3,9,7,1
UBC,2013,W,SOCI,415,A,001,"FAMILY & KINSHIP","White, James M",68,72.77,5.47,86,58,65,0,0,0,3,0,0,0,0,0,0,0,1,3,9,10,20,17,4,1,0
UBC,2013,W,SOCI,415, ,OVERALL,"FAMILY & KINSHIP"," ",69,72.77,5.47,86,58,65,0,1,0,3,0,0,0,0,0,0,0,1,3,9,10,20,17,4,1,0
UBC,2013,W,SOCI,425,A,001,"URBAN SOCIOLOGY","Lauster, Nathanael",33,78.7,7.38,90,63,33,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,8,6,7,2
UBC,2013,W,SOCI,425, ,OVERALL,"URBAN SOCIOLOGY"," ",33,78.7,7.38,90,63,33,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,8,6,7,2
UBC,2013,W,SOCI,444, ,001,"SOCIOLOGY AGING","Martin-Matthews, Anne",32,74.45,7.59,85,55,31,0,1,0,0,0,0,0,0,0,0,0,1,2,4,2,7,2,12,1,0
UBC,2013,W,SOCI,444, ,OVERALL,"SOCIOLOGY AGING"," ",32,74.45,7.59,85,55,31,0,1,0,0,0,0,0,0,0,0,0,1,2,4,2,7,2,12,1,0
UBC,2013,W,SOCI,464,A,001,"SOCIAL MOVEMENTS","Wilkes, Rima",30,80,9.43,98,64,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,6,4,6
UBC,2013,W,SOCI,464, ,OVERALL,"SOCIAL MOVEMENTS"," ",30,80,9.43,98,64,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,6,4,6
UBC,2013,W,SOCI,470,A,001,"CRIME & JUSTICE","Belter, Janelle",33,74.61,7.26,85,42,32,1,0,0,0,0,0,0,0,1,1,0,0,0,2,2,11,11,5,1,0
UBC,2013,W,SOCI,470,A,003,"CRIME & JUSTICE","Hirsh, Elizabeth",29,75.37,7.58,91,62,27,0,2,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,3,3,1
UBC,2013,W,SOCI,470, ,OVERALL,"CRIME & JUSTICE"," ",64,74.95,7.35,91,42,59,1,4,0,0,0,0,0,0,1,1,0,0,2,5,6,16,17,8,4,1
UBC,2013,W,SOCI,473,A,001,"MENTAL ILLNESS","Bartolic, Silvia",34,77.88,8.63,87,40,31,1,2,0,0,0,0,0,0,1,1,0,0,0,0,3,5,4,12,7,0
UBC,2013,W,SOCI,473, ,OVERALL,"MENTAL ILLNESS"," ",34,77.88,8.63,87,40,31,1,2,0,0,0,0,0,0,1,1,0,0,0,0,3,5,4,12,7,0
UBC,2013,W,SOCI,500, ,001,"SOCIAL THOUGHT","Kemple, Thomas",10,87.14,2.41,91,83,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
UBC,2013,W,SOCI,500, ,OVERALL,"SOCIAL THOUGHT"," ",10,87.14,2.41,91,83,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
UBC,2013,W,SOCI,502, ,001,"RS DSG&TEC: QUAN","Tindall, David",10,89.56,2.55,94,87,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
UBC,2013,W,SOCI,502, ,OVERALL,"RS DSG&TEC: QUAN"," ",10,89.56,2.55,94,87,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
UBC,2013,W,SOCI,503, ,001,"RS DSG&TEC: QUAL","Roth, Wendy",15,82.33,8.38,92,55,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,6,1
UBC,2013,W,SOCI,503, ,OVERALL,"RS DSG&TEC: QUAL"," ",15,82.33,8.38,92,55,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,6,1
UBC,2013,W,SOCI,510,A,001,"POP,COM&DEMO","Lauster, Nathanael",5,87.2,2.28,90,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2013,W,SOCI,510, ,OVERALL,"POP,COM&DEMO"," ",5,87.2,2.28,90,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2013,W,SOCI,540,A,001,"SOCIAL INEQUALIT","Creese, Gillian",13,86,2.3,90,82,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1
UBC,2013,W,SOCI,540, ,OVERALL,"SOCIAL INEQUALIT"," ",13,86,2.3,90,82,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1
UBC,2013,W,SOCI,649, ,OVERALL,"DOC DISSERTATION"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
